zihai-005212	刹
zihai-005213	𠛪
zihai-005214	𠜋
zihai-005216	剁
zihai-005219	𠛴
zihai-005221	𠛫
zihai-005222	𠜅
zihai-005224	刻
zihai-005225	𠜇
zihai-005227	𠛼
zihai-005234	剆
zihai-005235	刷
zihai-005236	𠜈
zihai-005239	刴
zihai-005243	𠛱
zihai-005244	𠜊
zihai-005246	𠜉
zihai-005247	𠜚
zihai-005248	𠜝
zihai-005249	荆
zihai-005250	𠝐
zihai-005252	𠜩
zihai-005254	剋
zihai-005301	𠜙
zihai-005302	剌
zihai-005309	剄
zihai-005311	𠜔
zihai-005312	𠜐
zihai-005313	削
zihai-005314	𫦁
zihai-005315	𠜠
zihai-005316	𠜟
zihai-005317	𠜛
